STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
1,责怪,zéguài,Động từ,TRÁCH QUÁI,"trách cứ, trách móc, oán trách",Blame,,FALSE,,
2,情绪,qíngxù,Danh từ,TÌNH TỰ,"cảm xúc, tâm trạng, tinh thần ",mood,,FALSE,,
3,安心,ānxīn,Tính từ,AN TÂM,"an tâm, yên tâm, cảm giác bình yên trong tâm hồn",Peace of mind,,FALSE,,
4,发誓,fāshì,Động từ,PHÁT THỆ,"thề, xin thề, tuyên thệ",swear,,FALSE,,
5,当下,dāngxià,"Phó từ, Danh từ",ĐƯƠNG HẠ," (phó từ): lập tức; ngay lập tức; tức thì; liền; ngay lúc đó; (danh từ): lúc này, hiện tại",At present,,FALSE,,
6,留言,liúyán,Động từ,LƯU NGÔN,"bình luận, comment, để lại tin nhắn",message,,FALSE,,
7,般配,bānpèi,Tính từ,BAN PHỐI,"xứng đôi, hợp nhau; hợp, xứng",Well-matched,,FALSE,,
8,社会网络,shèhuì wǎngluò,Danh từ,XÃ HỘI VÕNG LẠC,"mạng xã hội, phương tiện truyền thông mạng xã hội",Social Networks,,FALSE,,
9,社交媒体,shèjiāo méitǐ,Danh từ,XÃ GIAO MÔI THỂ,mạng xã hội,social media,,FALSE,,
10,微信,Wēixìn,Danh từ,VI TÍN,WeChat (mạng xã hội phổ biến nhất Trung Quốc),WeChat,,FALSE,,
11,微博,Wēibó,Danh từ,VI BÁC,WeiBo,Weibo,,FALSE,,
12,小红书,Xiǎohóngshū,Danh từ,TIỂU HỒNG THƯ,Tiểu Hồng Thư (mạng xã hội của Trung Quốc),Xiaohongshu,,FALSE,,
13,抖音,Dǒuyīn,Danh từ,ĐẨU ÂM,"TikTok, Douyin (Chinese Version)",Tik Tok,,FALSE,,
14,哎,āi,Thán từ,ai,"này, trời ơi, ái chà (được dùng để diễn tả sự ngạc nhiên hoặc không hài lòng)","oh, haizz, omg",,FALSE,哎，今天晚上你不要再睡那么晚了!,"Này, đừng thức khuya nữa tối nay nhé!"
15,唉,āi,Thán từ,ai,"ôi, than ôi (diễn tả sự thương cảm hoặc hối tiếc)","oh, oiss, oops",,FALSE,唉，真没意思！,"Ôi, chán quá!"
16,爱护,àihù,Động từ,ái hộ,"yêu quý, quý trọng, trân trọng, bảo vệ, yêu thương","cherish, take care of, safeguard",,FALSE,朋友之间应该互相爱护，互相帮助。,Bạn bè nên quan tâm và giúp đỡ lẫn nhau.
17,爱惜,àixī,Động từ,ái tích,"quý trọng, trân trọng, trân quý","esteem, appreciate, cherish",,FALSE,我们一定要爱惜自己的身体。,Chúng ta phải trân trọng cơ thể mình.
18,粮食,liángshí,Danh từ,lương thực,lương thực,"food, grain",,FALSE,我们应该爱惜粮食，不要浪费。,Chúng ta nên trân trọng thực phẩm và tránh lãng phí.
19,爱心,àixīn,Danh từ,ái tâm,"lòng yêu thương, lòng trắc ẩn, lòng nhân ái","love, care, compassion",,FALSE,大家都想参加这次爱心活动。,Ai cũng muốn tham gia sự kiện từ thiện này.
20,暗,àn,Tính từ,ám,"tối tăm, u ám, mù mịt","dark, dim, dull",,FALSE,这条路晚上没有灯，恨暗。,Con đường này rất tối vào ban đêm vì không có đèn chiếu sáng.
21,黑暗,hēi'àn,Tính từ,hắc ám,"đen tối, tối tăm; hắc ám, đen tối","dark, evil",,FALSE,夜晚的森林很黑暗。,Khu rừng rất tối vào ban đêm.
22,暗下来,àn xiàlái,Động từ,ám hạ lai,(trời) tối dần,becoming darker and darker,,FALSE,傍晚了，天暗了下来。,"Trời đã tối, và bầu trời bắt đầu sẫm màu."
23,岸,àn,Danh từ,ngạn,"bờ, bến (sông, biển)","river bank, sea shore",,FALSE,我们在海岸上散步。,Chúng tôi đi dạo trên bờ biển.
24,安慰,ānwèi,"Động từ, Danh từ, Tính từ",an úy,"(v): an ủi, trấn an, dỗ dành; (n): sự an ủi; (adj): an nhàn, thoải mái","comfort, console",,FALSE,当我遇到难过的事情，我的好朋友总是陪在我身边，安慰我。,"Mỗi khi gặp phải chuyện gì buồn, những người bạn tốt của tôi luôn ở bên cạnh an ủi tôi."
25,安装,ānzhuāng,Động từ,an trang,"lắp ráp, lắp đặt, cài đặt","install, set up",,FALSE,你好，我昨天在你们那儿买的空调，你们什么时候派工人过来安装？,"Chào bạn, tôi đã mua một máy điều hòa từ cửa hàng của bạn hôm qua. Khi nào bạn sẽ cử người đến lắp đặt?"
26,设备,shèbèi,Danh từ,thiết bị,"thiết bị, dụng cụ",equipment,,FALSE,这个设备的作用是什么？,Thiết bị này có chức năng gì?
27,软件,ruǎnjiàn,Danh từ,nhuyễn kiện,"phần mềm, ứng dụng",software,,FALSE,我要把这个软件安装在我的电脑里。,Tôi muốn cài đặt phần mềm này trên máy tính của mình.
28,熬夜,áo yè,Động từ,ngao dạ,"thức khuya, thức đêm, thức sáng đêm",stay up late,,FALSE,你不要熬夜了，等到身体生病才后悔是来不及的。,Đừng thức khuya nữa; đến khi ốm thì đã quá muộn để hối hận rồi.
29,摆,bǎi,Động từ,bài,"bài biện, bố trí, sắp đặt, sắp xếp","put, place, arrange",,FALSE,我们一起把东西摆整齐吧。,Chúng ta hãy cùng nhau cất giữ mọi thứ một cách gọn gàng.
30,傍晚,bàngwǎn,Danh từ,bàng vãn,"chạng vạng, chập tối, chiều tối, xẩm tối, hoàng hôn","at dusk, at nightfall",,FALSE,每天傍晚我都跑一个小时步。,Tôi chạy bộ một tiếng mỗi tối.
31,办理,bànlǐ,Động từ,biện lý,"làm, giải quyết, thực hiện (thủ tục)","handle, conduct",,FALSE,申请签证前，你需要办理好护照。,"Trước khi xin visa, bạn cần phải có hộ chiếu."
32,手续,shǒuxù,Danh từ,thủ tục,thủ tục,procedure,,FALSE,我已经办好出国手续了。,Tôi đã hoàn tất các thủ tục để đi nước ngoài.
33,薄,báo,Tính từ,bạc,"mỏng, mỏng manh",thin,,FALSE,外面天气那么冷，你怎么穿这么薄的衣服，不觉得冷吗？,"Ngoài trời lạnh như vậy, sao bạn lại mặc quần áo mỏng thế? Bạn không thấy lạnh à?"
34,宝贝,bǎobèi,Danh từ,bảo bối,"bảo bối, em yêu, bé yêu, cục cưng",my love,,FALSE,halo宝贝，我带你去吃冰淇淋呢。,"Cục cưng ơi, anh dẫn em đi ăn kem nè."
35,收藏,shōucáng,Động từ,thu tàng,"sưu tầm, thu gom, góp nhặt",collect,,FALSE,我收藏了很多宝贝。,Tôi đã sưu tầm được rất nhiều báu vật.
36,保持,bǎochí,Động từ,bảo trì,"duy trì, giữ gìn, giữ","keep, maintain, retain",,FALSE,无论在什么样的情况下，我们都尽量保持积极的态度。,"Dù trong hoàn cảnh nào, chúng tôi luôn cố gắng hết sức để giữ thái độ tích cực."
37,保持联系,bǎochí liánxì,Động từ,bảo trì liên hệ,giữ liên lạc,keep in touch,,FALSE,毕业后，我们一定要保持联系呢。,"Sau khi tốt nghiệp, chúng ta nhất định phải giữ liên lạc đó nha!"
38,保存,bǎocún,Động từ,bảo tồn,"giữ gìn, cất giữ, lưu giữ, bảo quản","save, preserve",,FALSE,这个食物可以保存三个月以上。,Loại thực phẩm này có thể bảo quản được hơn ba tháng.
39,保留,bǎoliú,Động từ,bảo lưu,"giữ gìn, bảo tồn, bảo lưu, giữ nguyên","keep unchanged, retain, keep back",,FALSE,许多少数民族地区还在保留着传统风俗习惯。,Nhiều khu vực dân tộc thiểu số vẫn còn lưu giữ những phong tục và truyền thống lâu đời.
40,风俗习惯,fēngsú xíguàn,Danh từ,phong tục tập quán,phong tục tập quán,customs and habits,,FALSE,许多少数民族地区还在保留着传统风俗习惯。,Nhiều khu vực dân tộc thiểu số vẫn còn lưu giữ những phong tục và truyền thống lâu đời.
41,报道,bàodào,"Danh từ, Động từ",báo đạo,"(n): bản tin, bài báo; (v): đưa tin, phát tin","(n): news, (v): report news",,FALSE,我爸爸每天晚上都上网看新闻报道，了解世界时事。,Bố tôi mỗi tối đều lên mạng đọc tin tức và tìm hiểu về các sự kiện hiện tại trên thế giới.
42,地震,dìzhèn,Danh từ,địa chấn,động đất,earthquake,,FALSE,电视台报道了日本地震的消息，所幸每人受伤。,"Đài truyền hình đã đưa tin về trận động đất ở Nhật Bản; may mắn thay, không có ai bị thương."
43,时事,shíshì,Danh từ,thì sự,thời sự,"news, current events",,FALSE,每天晚上我都花半个小时看电视的时事。,Mỗi tối tôi dành nửa tiếng đồng hồ xem tin tức thời sự trên truyền hình.
44,事实,shìshí,Danh từ,sự thực,sự thật,the truth,,FALSE,这件事你不会相信也没关系，但是它是事实。,"Không sao nếu bạn không tin, nhưng đó là sự thật."
45,实施,shíshī,Động từ,thực thi,"thực thi, thi hành (pháp lệnh, chính sách)","put into effect, bring something into force, carry out",,FALSE,政府刚通过这个律条，大家需要严肃地遵守和符合地实施。,"Chính phủ vừa thông qua luật này, và mọi người cần nghiêm túc tuân thủ và thực hiện theo đúng nội dung của nó."
46,报到,bàodào,Động từ,báo đáo,"báo danh, báo cáo có mặt, báo trình diện","check in, report for duty",,FALSE,请大家在这里登记报到。,Mời mọi người đăng ký báo danh tại đây.
47,报告,bàogào,"Động từ, Danh từ",báo cáo,báo cáo,report,,FALSE,他做的报告内容很详细。,Anh ấy làm nội dung báo cáo rất chi tiết.
48,宝贵,bǎoguì,Tính từ,bảo quý,"quý giá, quý báu","precious, valuable",,FALSE,不要浪费我们的宝贵时间。,Chúng ta đừng lãng phí thời gian quý báu của mình.
49,珍惜,zhēnxī,Động từ,trân tích,"trân trọng, trân quý, quý trọng",cherish,,FALSE,我们需要珍惜宝贵的生命。,Chúng ta cần trân trọng cuộc sống quý giá của mình.
50,包裹,bāoguǒ,Danh từ,bao khỏa,"kiện hàng, bưu phẩm, hàng","parcel, package",,FALSE,我去邮局寄包裹。,Tôi đến bưu điện để gửi một bưu kiện.
51,报社,bàoshè,Danh từ,báo xã,"tòa soạn, tòa báo",newspaper office,,FALSE,我现在在一家报社工作。,Hiện tại tôi đang làm việc tại một tòa soạn.
52,保险,bǎoxiǎn,Danh từ,bảo hiểm,bảo hiểm,insurance,,FALSE,大家可以买各种各样的社会保险。,Mọi người có thể mua đủ loại bảo hiểm xã hội.
53,抱怨,bàoyuàn,Động từ,bão oán,"than phiền, phàn nàn, oán trách, oán giận",complain,,FALSE,不要总是抱怨周围的环境不好，试试改变自己的态度，慢慢来你就更好地适应。,Đừng lúc nào cũng phàn nàn về môi trường xung quanh. Hãy thử thay đổi thái độ và làm mọi việc từ từ; bạn sẽ thích nghi tốt hơn theo cách đó.
54,停止,tíngzhǐ,Động từ,đình chỉ,"ngừng, dừng, chấm dứt","stop, cease",,FALSE,从今天起，你停止抱怨自己吧，给自己一些爱心和照顾吧。,"Từ hôm nay, hãy ngừng than phiền về bản thân và dành cho mình tình yêu thương và sự chăm sóc."
55,背,bēi,Động từ,bội,"vác, cõng, mang, đeo (sau lưng)",back something,,FALSE,他背着孩子走过马路。,Anh ấy cõng đứa trẻ và băng qua đường.
56,悲观,bēiguān,Tính từ,bi quan,"bi quan, tiêu cực",pessimistic,,FALSE,这种悲观的态度会影响你的学习。,Thái độ bi quan này sẽ ảnh hưởng đến việc học tập của bạn.
57,乐观,lèguān,Tính từ,lạc quan,"lạc quan, tích cực, vui vẻ",optimistic,,FALSE,保持乐观的态度是克服生活中的困难和挑战的关键。,Duy trì thái độ lạc quan là chìa khóa để vượt qua những khó khăn và thử thách trong cuộc sống.
58,情绪,qíngxù,Danh từ,tình tự,"tâm trạng, cảm xúc; nỗi buồn, ưu tư, suy tư","emotion, mood, feeling; depression, moodiness",,FALSE,他的情绪很不稳定。你们需要多关心和安慰他把。,Cảm xúc của anh ấy rất bất ổn. Bạn cần thể hiện sự quan tâm và an ủi anh ấy nhiều hơn.
59,对……感到悲观,duì...gǎndào bēiguān,Cụm từ,đối...cảm đáo bi quan,cảm thấy bi quan về,feel pessimistic about something,,FALSE,我对我的未来感到非常悲观。,Tôi cảm thấy rất bi quan về tương lai của mình.
60,包含,bāohán,Động từ,,,Include,,FALSE,,
61,深刻,shēnkè,Tính từ,,,profound,,FALSE,,
62,道理,dàolǐ,Danh từ,,,reason,,FALSE,,
63,包括,bāokuò,Động từ,,,include,,FALSE,,
64,包括……在内,bāokuò……zàinèi,Động từ,,,Including...,,FALSE,,
65,总共,zǒnggòng,Phó từ,,,Total,,FALSE,,
66,背景,bèijǐng,Danh từ,,,background,,FALSE,,
67,社会背景,shèhuì bèijǐng,Danh từ,,,Social background,,FALSE,,
68,当时,dāngshí,Danh từ,,,then,,FALSE,,
69,被子,bèizi,Danh từ,,,Quilt,,FALSE,,
70,本科,běnkē,Danh từ,,,Undergraduate,,FALSE,,
71,阶段,jiēduàn,Danh từ,,,stage,,FALSE,,
72,本领,běnlǐng,Danh từ,,,ability,,FALSE,,
73,本质,běnzhì,Danh từ,,,nature,,FALSE,,
74,长相,zhǎngxiàng,Danh từ,,,appearance,,FALSE,,
75,编辑,biānjí,Động từ,,,edit,,FALSE,,
76,辩论,biànlùn,Động từ,,,debate,,FALSE,,
77,激烈,jīliè,Tính từ,,,fierce,,FALSE,,
78,逐渐,zhújiàn,Phó từ,,,gradually,,FALSE,,
79,争吵,zhēngchǎo,Động từ,,,quarrel,,FALSE,,
80,鞭炮,biānpào,Động từ,,,firecracker,,FALSE,,
81,禁止,jìnzhǐ,Động từ,,,prohibit,,FALSE,,
82,表达,biǎodá,Động từ,,,Express,,FALSE,,
83,标点,biāodiǎn,Danh từ,,,punctuation,,FALSE,,
84,尽量,jǐnliàng,Phó từ,,,Try your best,,FALSE,,
85,避免,bìmiǎn,Động từ,,,avoid,,FALSE,,
86,不可避免,bùkě bìmiǎn,Động từ,,,Inevitable,,FALSE,,
87,表面,biǎomiàn,Danh từ,,,surface,,FALSE,,
88,在乎,zàihu,Động từ,,,care,,FALSE,,
89,表明,biǎomíng,Động từ,,,show,,FALSE,,
90,表情,biǎoqíng,Danh từ,,,expression,,FALSE,,
91,标志,biāozhì,Danh từ,,,logo,,FALSE,,
92,合作,hézuò,"Danh từ, Động từ",,,cooperate,,FALSE,,
93,配合,pèihé,"Danh từ, Động từ",,,Cooperate,,FALSE,,
94,起点,qǐdiǎn,Danh từ,,,starting point,,FALSE,,
95,比例,bǐlì,Danh từ,,,Proportion,,FALSE,,
96,受伤,shòushāng,Động từ,,,Injured,,FALSE,,
97,病毒,bìngdú,Danh từ,,,Virus,,FALSE,,
98,感染,gǎnrǎn,Động từ,,,Infect,,FALSE,,
99,传染,chuánrǎn,Động từ,,,infect,,FALSE,,
100,冰激凌,bīngjīlíng,Danh từ,,,ice cream,,FALSE,,
101,冰淇淋,bīngqílín,Danh từ,,,ice cream,,FALSE,,
102,必然,bìrán,"Tính từ, Danh từ",,,inevitable,,FALSE,,
103,必要,xūyào,Tính từ,,,necessary,,FALSE,,
104,看上去,kànshàngqù,Động từ,,,It looks like,,FALSE,,
105,碰到,pèngdào,Động từ,,,bump into,,FALSE,,
106,人类,rénlèi,Danh từ,,,Humans,,FALSE,,
107,生存,shēngcún,Động từ,,,Survive,,FALSE,,
108,播放,bòfàng,Động từ,,,Play,,FALSE,,
109,视频,shìpín,Danh từ,,,video,,FALSE,,
110,玻璃,bōli,Danh từ,,,Glass,,FALSE,,
111,被打破,bèi dǎpò,Động từ,,,Broken,,FALSE,,
112,博物馆,bówùguǎn,Danh từ,,,museum,,FALSE,,
113,脖子,bózi,Danh từ,,,neck,,FALSE,,
114,不要紧,bùyàojǐn,Tính từ,,,It's alright.,,FALSE,,
115,长期,chángqī,Tính từ,,,long,,FALSE,,
116,造成,zàochéng,Động từ,,,cause,,FALSE,,
117,酒店,jiǔdiàn,Danh từ,,,hotel,,FALSE,,
118,光滑,guānghuá,Tính từ,,,smooth,,FALSE,,
119,布,bù,Danh từ,,,cloth,,FALSE,,
120,把握,bǎwò,"Động từ, Danh từ",,,grasp,,FALSE,,
121,掌握,zhǎngwò,Động từ,,,master,,FALSE,,
122,不安,bù'ān,Tính từ,,,disturbed,,FALSE,,
123,补充,bǔchōng,Động từ,,,Replenish,,FALSE,,
124,营养,yíngyǎng,Danh từ,,,Nutrition,,FALSE,,
125,不断,búduàn,"Động từ, Phó từ",,,continuously,,FALSE,,
126,部门,bùmén,Danh từ,,,department,,FALSE,,
127,不耐烦,bú nàifán,Tính từ,,,impatient,,FALSE,,
128,步骤,bùzhòu,Danh từ,,,step,,FALSE,,
129,具体,jùtǐ,Tính từ,,,specific,,FALSE,,
130,踩,cǎi,Động từ,,,step on,,FALSE,,
131,财产,cáichǎn,Danh từ,,,property,,FALSE,,
132,私人,sīrén,"Danh từ, Tính từ",,,private,,FALSE,,
133,采访,cǎifǎng,Động từ,,,Interview,,FALSE,,
134,彩虹,cǎihóng,Danh từ,,,rainbow,,FALSE,,
135,采取,cǎiqǔ,Động từ,,,take,,FALSE,,
136,措施,cuòshī,Danh từ,,,measure,,FALSE,,
137,生产成本,shēngchǎn chéngběn,Động từ,,,Production costs,,FALSE,,
138,参考,cānkǎo,Động từ,,,refer to,,FALSE,,
139,惭愧,cánkuì,Tính từ,,,I am ashamed,,FALSE,,
140,欺骗,qīpiàn,Động từ,,,cheat,,FALSE,,
141,操心,cāoxīn,Động từ,,,worry,,FALSE,,
