STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ
1,你,nǐ,,,bạn,you,,FALSE,
2,好,hǎo,,,tốt,good,,FALSE,
2,你好,nǐhǎo,,,xin chào,Hello,,FALSE,
3,很,hěn,,,rất,very,,FALSE,
4,不,bù,,,(phủ định) không,No,,FALSE,
5,太,tài,,,quá,too,,FALSE,
6,忙,máng,,,bận,busy,,FALSE,
7,吗,ma,,,(từ nghi vấn) không,Ma,,FALSE,
8,累,lěi,,,mệt,tired,,FALSE,
9,大,dà,,,"to, lớn",big,,FALSE,
10,家,jiā,,,nhà,Home,,FALSE,
11,大家,dàjiā,,,mọi người,Everyone,,FALSE,
12,我,wǒ,,,tôi,I,,FALSE,
13,叫,jiào,,,"gọi, tên là",Call,,FALSE,
14,谢谢,xièxie,,,cảm ơn,Thanks,,FALSE,
15,不客气,bù kèqi,,,"đừng khách sáo, đừng khách khí",You're welcome,,FALSE,
16,没关系,méiguānxi,,,không sao đâu,It doesn't matter,,FALSE,
17,对不起,duìbuqǐ,,,xin lỗi,sorry,,FALSE,
18,学习,xuéxí,,,học tập,study,,FALSE,
19,英语,yīngyǔ,,,Tiếng Anh,English,,FALSE,
20,汉语,hànyǔ,,,Tiếng Trung,Chinese,,FALSE,
21,韩语,hányǔ,,,Tiếng Hàn,Korean,,FALSE,
22,不用谢,bùyòngxiè,,,khỏi cảm ơn,You're welcome,,FALSE,
23,有,yǒu,,,có,have,,FALSE,
24,没有,méiyǒu,,,không có,No,,FALSE,
25,爸爸,bàba,,,"ba, cha",dad,,FALSE,
26,妈妈,māma,,,mẹ,Mother,,FALSE,
27,姐姐,jiějie,,,chị gái,elder sister,,FALSE,
28,弟弟,dìdi,,,em trai,younger brother,,FALSE,
29,哥哥,gēge,,,anh trai,elder brother,,FALSE,
30,妹妹,mèimei,,,em gái,younger sister,,FALSE,
31,一,yī,,,một,one,,FALSE,
32,二,èr,,,hai,two,,FALSE,
33,三,sān,,,ba,three,,FALSE,
34,四,sì,,,bốn,Four,,FALSE,
35,五,wǔ,,,năm,five,,FALSE,
36,六,liù,,,sáu,six,,FALSE,
37,七,qī,,,bảy,seven,,FALSE,
38,八,bā,,,tám,eight,,FALSE,
39,九,jiǔ,,,chín,Nine,,FALSE,
40,十,shí,,,mười,ten,,FALSE,
41,百,bǎi,,,trăm,Hundred,,FALSE,
42,和,hé,,,và,and,,FALSE,
43,几,jǐ,,,"vài, mấy (số lượng ít)",Several,,FALSE,
44,什么,shénme,,,cái gì,What,,FALSE,
45,名字,míngzì,,,tên,name,,FALSE,
46,哪,nǎ,,,ở đâu,where,,FALSE,
47,那,nà,,,"cái đó, việc đó, ở đó",That,,FALSE,
48,国,guó,,,quốc gia,country,,FALSE,
49,人,rén,,,người,people,,FALSE,
50,中国,zhōngguó,,,Trung Quốc,China,,FALSE,
51,越南,yuènán,,,Việt Nam,Vietnam,,FALSE,
52,韩国,hánguó,,,Hàn Quốc,South Korea,,FALSE,
53,美国,měiguó,,,"Hoa Kỳ, Mỹ",USA,,FALSE,
54,英国,yīngguó,,,Vương quốc Anh,U.K.,,FALSE,
55,泰国,tàiguó,,,Thái Lan,Thailand,,FALSE,
56,是,shì,,,là,yes,,FALSE,
57,认识,rènshi,,,biết,know,,FALSE,
58,对,duì,,,đúng,right,,FALSE,
59,高兴,gāoxìng,,,vui mừng,Happy,,FALSE,
60,也,yě,,,cũng,also,,FALSE,
61,您,nín,,,"ông, bà, ngài (lịch sự)",you,,FALSE,
62,他,tā,,,"anh ấy, chú ấy, ông ấy",he,,FALSE,
63,她,tā,,,"cô ấy, chị ấy, bà ấy",she,,FALSE,
64,它,tā,,,nó,it,,FALSE,
65,多,duō,,,nhiều,many,,FALSE,
66,岁,suì,,,tuổi,age,,FALSE,
67,老师,lǎoshī,,,giáo viên,teacher,,FALSE,
68,今年,jīnnián,,,năm nay,This year,,FALSE,
69,多大,duōdà,,,bao nhiêu tuổi,How big,,FALSE,
70,女儿,nǚér,,,con gái,daughter,,FALSE,
71,儿子,érzi,,,con trai,son,,FALSE,
72,同学,tóngxué,,,bạn học,classmate,,FALSE,
73,学生,xuésheng,,,học sinh,student,,FALSE,
74,大学,dàxué,,,đại học,University,,FALSE,
75,会,huì,,,sẽ; biết,will; know,,FALSE,
76,说,shuō,,,nói,explain,,FALSE,
77,写,xiě,,,viết,Write,,FALSE,
78,读,dú,,,đọc,read,,FALSE,
79,听,tīng,,,nghe,listen,,FALSE,
80,怎么,zěnme,,,"thế nào, làm sao",how,,FALSE,
81,只,zhǐ,,,chỉ,Only,,FALSE,
82,的,de,,,của,of,,FALSE,
83,喜欢,xǐhuan,,,thích,like,,FALSE,
84,菜,cài,,,"đồ ăn, món ăn",vegetable,,FALSE,
85,吃,chī,,,ăn,eat,,FALSE,
86,好吃,hàochī,,,ngon,tasty,,FALSE,
87,包子,bāozi,,,bánh bao,steamed stuffed bun,,FALSE,
88,饺子,jiǎozi,,,"bánh chẻo, há cảo",dumpling,,FALSE,
89,面包,miànbāo,,,bánh mỳ,bread,,FALSE,
90,面条,miàntiáo,,,mỳ sợi,Noodle,,FALSE,
91,河粉,héfěn,,,phở,Rice noodles,,FALSE,
92,这,zhè,,,cái này,this,,FALSE,
93,那,nà,,,cái kia,That,,FALSE,
94,两,liǎng,,,hai,two,,FALSE,
95,个,gè,,,(lượng từ chỉ số lượng),indivual,,FALSE,
96,米饭,mǐfàn,,,cơm,rice,,FALSE,
97,今天,jīntiān,,,hôm nay,today,,FALSE,
98,明天,míngtiān,,,ngày mai,tomorrow,,FALSE,
99,月,yuè,,,mặt trăng,moon,,FALSE,
100,号,hào,,,con số,Number,,FALSE,
101,星期,xīngqī,,,tuần,Week,,FALSE,
102,去,qù,,,đi,go,,FALSE,
103,学校,xuéxiào,,,trường học,School,,FALSE,
104,看,kàn,,,"nhìn, xem",look,,FALSE,
105,书,shū,,,sách,Book,,FALSE,
106,再见,zàijiàn,,,tạm biệt,goodbye,,FALSE,
107,图书馆,túshūguǎn,,,thư viện,library,,FALSE,
108,我们,wǒmen,,,chúng ta,us,,FALSE,
109,饿,è,,,đói bụng,Hungry,,FALSE,
110,想,xiǎng,,,nghĩ; muốn,think,,FALSE,
111,要,yào,,,muốn,want,,FALSE,
112,喝,hē,,,uống,drink,,FALSE,
113,茶,chá,,,trà,Tea,,FALSE,
114,奶茶,nǎichá,,,trà sữa,milk tea,,FALSE,
115,店,diàn,,,"cửa hàng, tiệm",shop,,FALSE,
116,饭店,fàndiàn,,,"nhà hàng, quán ăn",Restaurant,,FALSE,
117,奶茶店,nǎichá diàn,,,tiệm trà sữa,milk tea shop,,FALSE,
118,买,mǎi,,,mua,purchase,,FALSE,
119,卖,mài,,,bán,Sell,,FALSE,
120,杯子,bēizi,,,"cái ly, cái cốc",cup,,FALSE,
121,多少,duōshǎo,,,bao nhiêu,How many,,FALSE,
122,小,xiǎo,,,"bé, nhỏ",Small,,FALSE,
123,猫,māo,,,con mèo,cat,,FALSE,
124,狗,gǒu,,,con chó,dog,,FALSE,
125,在,zài,,,"(tồn tại) đang, ở",exist,,FALSE,
126,里,lǐ,,,bên trong,inside,,FALSE,
127,外,wài,,,bên ngoài,outside,,FALSE,
128,哪儿,nǎr,,,ở đâu,where,,FALSE,
129,这儿,zhèr,,,ở đây,here,,FALSE,
130,那儿,nàr,,,"ở đằng kia, ở đó",there,,FALSE,
131,工作,gōngzuò,,,công việc,Work,,FALSE,
132,工人,gōngrén,,,công nhân,Worker,,FALSE,
133,医院,yīyuàn,,,bệnh viện,Hospital,,FALSE,
134,银行,yínháng,,,ngân hàng,bank,,FALSE,
135,医生,yīshēng,,,bác sỹ,doctor,,FALSE,
136,看见,kànjiàn,,,nhìn thấy,see,,FALSE,
137,手机,shǒujī,,,điện thoại cầm tay,cell phone,,FALSE,
138,桌子,zhuōzi,,,cái bàn,table,,FALSE,
139,椅子,yǐzi,,,cái ghế,Chair,,FALSE,
140,上,shàng,,,"ở trên, lên",superior,,FALSE,
141,下,xià,,,"ở dưới, xuống",Down,,FALSE,
142,电脑,diànnǎo,,,máy tính,computer,,FALSE,
143,本,běn,,,(lượng từ cho sách vở),Book,,FALSE,
144,前面,qiánmiàn,,,"phía trước, đằng trước",Front,,FALSE,
145,后面,hòumiàn,,,"phía sau, đằng sau",later,,FALSE,
146,谁,shéi,,,ai,who,,FALSE,
147,能,néng,,,có thể,able,,FALSE,
148,做,zuò,,,"làm, nấu (ăn)",Do,,FALSE,
149,坐,zuò,,,ngồi,sit,,FALSE,
150,请,qǐng,,,"mời, xin mời, làm ơn",please,,FALSE,
151,现在,xiànzài,,,"hiện tại, bây giờ",Now,,FALSE,
152,点,diǎn,,,"giờ (thời gian), điểm",point,,FALSE,
153,分钟,fēnzhōng,,,phút,minute,,FALSE,
154,午饭,wǔfàn,,,bữa trưa,lunch,,FALSE,
155,半,bàn,,,phân nửa,Half,,FALSE,
156,前,qián,,,"trước, trước khi",forward,,FALSE,
157,钱,qián,,,tiền,money,,FALSE,
158,早上,zǎoshang,,,"buổi sáng, sáng sớm (trước 8h)",Morning,,FALSE,
159,上午,shàngwǔ,,,buổi sáng (sau 8h),morning,,FALSE,
160,下午,xiàwǔ,,,buổi chiều,afternoon,,FALSE,
161,晚上,wǎnshàng,,,buổi tối,night,,FALSE,
162,早饭,zǎofàn,,,bữa ăn sáng,breakfast,,FALSE,
163,晚饭,wǎnfàn,,,bữa ăn tối,dinner,,FALSE,
164,回,huí,,,trở về,return,,FALSE,
165,电影,diànyǐng,,,bộ phim,Movie,,FALSE,
166,差,chā,,,"kém, sai, khác",Difference,,FALSE,
167,刻,kè,,,khắc (15 phút),carve,,FALSE,
168,吧,bā,,,(trợ từ ngữ khí): hãy (đề nghị làm gì đó); hoặc để khẳng định lại ý vừa nói,Bar,,FALSE,
169,冷,lěng,,,lạnh,cold,,FALSE,
170,热,rè,,,nóng,hot,,FALSE,
171,了,le,,,"rồi, đã",Already,,FALSE,
172,雨,yǔ,,,mưa,rain,,FALSE,
173,北京,běijīng,,,Bắc Kinh,Beijing,,FALSE,
174,身体,shēntǐ,,,sức khỏe,Body,,FALSE,
175,水果,shuǐguǒ,,,"hoa quả, trái cây",fruit,,FALSE,
176,天气,tiānqì,,,thời tiết,weather,,FALSE,
177,下雨,xiàyǔ,,,"đổ mưa, trời mưa",rain,,FALSE,
178,一点儿,yīdiǎnr,,,một chút,a little,,FALSE,
179,怎么样,zěnmeyàng,,,thế nào,How about it,,FALSE,
180,喂,wèi,,,Alo,Hello,,FALSE,
181,位,wèi,,,vị (xưng hô lịch sự),Bit,,FALSE,
182,正在,zhèngzài,,,đang (nhấn mạnh),In progress,,FALSE,
183,上网,shàngwǎng,,,lên mạng,Internet,,FALSE,
184,网上,wǎngshàng,,,trên mạng,Online,,FALSE,
185,找,zhǎo,,,tìm,try to find,,FALSE,
186,网友,wǎngyǒu,,,bạn trên mạng,Netizens,,FALSE,
187,睡觉,shuìjiào,,,ngủ,sleep,,FALSE,
188,爱,ài,,,"yêu, thích",like,,FALSE,
189,电话,diànhuà,,,điện thoại,Telephone,,FALSE,
190,号码,hàomǎ,,,con số,Number,,FALSE,
191,给,gěi,,,"đưa, cho",Give,,FALSE,
192,送,sòng,,,tặng,deliver,,FALSE,
