STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ
1,你,nǐ,,,Bạn,you,,FALSE,
2,好,hǎo,,,Tốt,good,,FALSE,
3,很,hěn,,,rất,very,,FALSE,
4,不,bù,,,KHÔNG,No,,FALSE,
5,太,tài,,,quá,too,,FALSE,
6,忙,máng,,,bận,busy,,FALSE,
7,吗,ma,,,Ma,Ma,,FALSE,
8,累,lěi,,,mệt,tired,,FALSE,
9,大,dà,,,to lớn,big,,FALSE,
10,家,jiā,,,nhà,Home,,FALSE,
11,大家,dàjiā,,,Mọi người,Everyone,,FALSE,
12,我,wǒ,,,TÔI,I,,FALSE,
13,叫,jiào,,,Gọi,Call,,FALSE,
14,谢谢,xièxie,,,Cảm ơn,Thanks,,FALSE,
15,不客气,bù kèqi,,,Không có gì,You're welcome,,FALSE,
16,没关系,méiguānxi,,,không sao đâu,It doesn't matter,,FALSE,
17,对不起,duìbuqǐ,,,Xin lỗi,sorry,,FALSE,
18,学习,xuéxí,,,học,study,,FALSE,
19,英语,yīngyǔ,,,Tiếng Anh,English,,FALSE,
20,汉语,hànyǔ,,,tiếng trung,Chinese,,FALSE,
21,韩语,hányǔ,,,tiếng hàn,Korean,,FALSE,
22,不用谢,bùyòngxiè,,,Không có gì,You're welcome,,FALSE,
23,有,yǒu,,,có,have,,FALSE,
24,没有,méiyǒu,,,KHÔNG,No,,FALSE,
25,爸爸,bàba,,,bố,dad,,FALSE,
26,妈妈,māma,,,Mẹ,Mother,,FALSE,
27,姐姐,jiějie,,,chị gái,elder sister,,FALSE,
28,弟弟,dìdi,,,em trai,younger brother,,FALSE,
29,哥哥,gēge,,,anh trai,elder brother,,FALSE,
30,妹妹,mèimei,,,em gái,younger sister,,FALSE,
31,一,yī,,,một,one,,FALSE,
32,二,èr,,,hai,two,,FALSE,
33,三,sān,,,ba,three,,FALSE,
34,四,sì,,,Bốn,Four,,FALSE,
35,五,wǔ,,,năm,five,,FALSE,
36,六,liù,,,sáu,six,,FALSE,
37,七,qī,,,bảy,seven,,FALSE,
38,八,bā,,,tám,eight,,FALSE,
39,九,jiǔ,,,Chín,Nine,,FALSE,
40,十,shí,,,mười,ten,,FALSE,
41,百,bǎi,,,Một trăm,Hundred,,FALSE,
42,和,hé,,,Và,and,,FALSE,
43,几,jǐ,,,Một số,Several,,FALSE,
44,什么,shénme,,,Cái gì,What,,FALSE,
45,名字,míngzì,,,tên,name,,FALSE,
46,哪,nǎ,,,Ở đâu,where,,FALSE,
47,那,nà,,,Cái đó,That,,FALSE,
48,国,guó,,,quốc gia,country,,FALSE,
49,人,rén,,,mọi người,people,,FALSE,
50,中国,zhōngguó,,,Trung Quốc,China,,FALSE,
51,越南,yuènán,,,Việt Nam,Vietnam,,FALSE,
52,韩国,hánguó,,,Hàn Quốc,South Korea,,FALSE,
53,美国,měiguó,,,Hoa Kỳ,USA,,FALSE,
54,英国,yīngguó,,,Vương quốc Anh,U.K.,,FALSE,
55,泰国,tàiguó,,,Thái Lan,Thailand,,FALSE,
56,是,shì,,,Đúng,yes,,FALSE,
57,认识,rènshi,,,biết,know,,FALSE,
58,对,duì,,,Phải,right,,FALSE,
59,高兴,gāoxìng,,,Vui mừng,Happy,,FALSE,
60,也,yě,,,Mà còn,also,,FALSE,
61,您,nín,,,Bạn,you,,FALSE,
62,他,tā,,,Anh ta,he,,FALSE,
63,她,tā,,,cô ấy,she,,FALSE,
64,它,tā,,,Nó,it,,FALSE,
65,多,duō,,,nhiều,many,,FALSE,
66,岁,suì,,,tuổi,age,,FALSE,
67,老师,lǎoshī,,,giáo viên,teacher,,FALSE,
68,今年,jīnnián,,,Năm nay,This year,,FALSE,
69,多大,duōdà,,,Kích thước bao nhiêu,How big,,FALSE,
70,女儿,nǚér,,,con gái,daughter,,FALSE,
71,儿子,érzi,,,con trai,son,,FALSE,
72,同学,tóngxué,,,bạn cùng lớp,classmate,,FALSE,
73,学生,xuésheng,,,học sinh,student,,FALSE,
74,大学,dàxué,,,Trường đại học,University,,FALSE,
75,会,huì,,,cuộc họp,meeting,,FALSE,
76,说,shuō,,,giải thích,explain,,FALSE,
77,写,xiě,,,Viết,Write,,FALSE,
78,读,dú,,,đọc,read,,FALSE,
79,听,tīng,,,Nghe,listen,,FALSE,
80,怎么,zěnme,,,Làm sao,how,,FALSE,
81,只,zhǐ,,,Chỉ một,Only,,FALSE,
82,的,de,,,của,of,,FALSE,
83,喜欢,xǐhuan,,,giống,like,,FALSE,
84,菜,cài,,,rau quả,vegetable,,FALSE,
85,吃,chī,,,ăn,eat,,FALSE,
86,好吃,hàochī,,,ngon,tasty,,FALSE,
87,包子,bāozi,,,bánh bao hấp nhân,steamed stuffed bun,,FALSE,
88,饺子,jiǎozi,,,bánh bao,dumpling,,FALSE,
89,面包,miànbāo,,,bánh mỳ,bread,,FALSE,
90,面条,miàntiáo,,,Mì,Noodle,,FALSE,
91,河粉,héfěn,,,Mì gạo,Rice noodles,,FALSE,
92,这,zhè,,,cái này,this,,FALSE,
93,那,nà,,,Cái đó,That,,FALSE,
94,两,liǎng,,,hai,two,,FALSE,
95,个,gè,,,cá nhân,indivual,,FALSE,
96,米饭,mǐfàn,,,cơm,rice,,FALSE,
97,今天,jīntiān,,,Hôm nay,today,,FALSE,
98,明天,míngtiān,,,Ngày mai,tomorrow,,FALSE,
99,月,yuè,,,mặt trăng,moon,,FALSE,
100,号,hào,,,Con số,Number,,FALSE,
101,星期,xīngqī,,,Tuần,Week,,FALSE,
102,去,qù,,,đi,go,,FALSE,
103,学校,xuéxiào,,,Trường học,School,,FALSE,
104,看,kàn,,,Nhìn,look,,FALSE,
105,书,shū,,,Sách,Book,,FALSE,
106,再见,zàijiàn,,,tạm biệt,goodbye,,FALSE,
107,图书馆,túshūguǎn,,,thư viện,library,,FALSE,
108,我们,wǒmen,,,chúng ta,us,,FALSE,
109,饿,è,,,Đói bụng,Hungry,,FALSE,
110,想,xiǎng,,,nghĩ,think,,FALSE,
111,要,yào,,,muốn,want,,FALSE,
112,喝,hē,,,uống,drink,,FALSE,
113,茶,chá,,,Trà,Tea,,FALSE,
114,奶茶,nǎichá,,,trà sữa,milk tea,,FALSE,
115,店,diàn,,,cửa hàng,shop,,FALSE,
116,饭店,fàndiàn,,,Nhà hàng,Restaurant,,FALSE,
117,奶茶店,nǎichá diàn,,,cửa hàng trà sữa,milk tea shop,,FALSE,
118,买,mǎi,,,mua,purchase,,FALSE,
119,卖,mài,,,Bán,Sell,,FALSE,
120,杯子,bēizi,,,tách,cup,,FALSE,
121,多少,duōshǎo,,,Bao nhiêu,How many,,FALSE,
122,小,xiǎo,,,Bé nhỏ,Small,,FALSE,
123,猫,māo,,,con mèo,cat,,FALSE,
124,狗,gǒu,,,chó,dog,,FALSE,
125,在,zài,,,hiện hữu,exist,,FALSE,
126,里,lǐ,,,bên trong,inside,,FALSE,
127,外,wài,,,ngoài,outside,,FALSE,
128,哪儿,nǎr,,,Ở đâu,where,,FALSE,
129,这儿,zhèr,,,đây,here,,FALSE,
130,那儿,nàr,,,ở đó,there,,FALSE,
131,工作,gōngzuò,,,Công việc,Work,,FALSE,
132,工人,gōngrén,,,Công nhân,Worker,,FALSE,
133,医院,yīyuàn,,,Bệnh viện,Hospital,,FALSE,
134,银行,yínháng,,,ngân hàng,bank,,FALSE,
135,医生,yīshēng,,,bác sĩ,doctor,,FALSE,
136,看见,kànjiàn,,,nhìn thấy,see,,FALSE,
137,手机,shǒujī,,,điện thoại di động,cell phone,,FALSE,
138,桌子,zhuōzi,,,bàn,table,,FALSE,
139,椅子,yǐzi,,,Chủ tịch,Chair,,FALSE,
140,上,shàng,,,thượng đẳng,superior,,FALSE,
141,下,xià,,,Xuống,Down,,FALSE,
142,电脑,diànnǎo,,,máy tính,computer,,FALSE,
143,本,běn,,,Sách,Book,,FALSE,
144,前面,qúnzi,,,Đằng trước,Front,,FALSE,
145,后面,hòumiàn,,,sau đó,later,,FALSE,
146,谁,shéi,,,Ai,who,,FALSE,
147,能,néng,,,có thể,able,,FALSE,
148,做,zuò,,,LÀM,Do,,FALSE,
149,坐,zuò,,,ngồi,sit,,FALSE,
150,请,qǐng,,,Xin vui lòng,please,,FALSE,
151,现在,xiànzài,,,Hiện nay,Now,,FALSE,
152,点,diǎn,,,điểm,point,,FALSE,
153,分钟,fēnzhōng,,,phút,minute,,FALSE,
154,午饭,wǔfàn,,,bữa trưa,lunch,,FALSE,
155,半,bàn,,,Một nửa,Half,,FALSE,
156,前,qián,,,phía trước,forward,,FALSE,
157,钱,qián,,,tiền bạc,money,,FALSE,
158,早上,zǎoshang,,,Buổi sáng,Morning,,FALSE,
159,上午,shàngwǔ,,,buổi sáng,morning,,FALSE,
160,下午,xiàwǔ,,,buổi chiều,afternoon,,FALSE,
161,晚上,wǎnshàng,,,đêm,night,,FALSE,
162,早饭,zǎofàn,,,bữa sáng,breakfast,,FALSE,
163,晚饭,wǎnfàn,,,bữa tối,dinner,,FALSE,
164,回,huí,,,trở lại,return,,FALSE,
165,电影,diànyǐng,,,Bộ phim,Movie,,FALSE,
166,差,chā,,,Sự khác biệt,Difference,,FALSE,
167,刻,kè,,,chạm khắc,carve,,FALSE,
168,吧,bā,,,Thanh,Bar,,FALSE,
169,冷,lěng,,,lạnh lẽo,cold,,FALSE,
170,热,rè,,,nóng,hot,,FALSE,
171,了,le,,,Đã,Already,,FALSE,
172,雨,yǔ,,,cơn mưa,rain,,FALSE,
173,北京,běijīng,,,Bắc Kinh,Beijing,,FALSE,
174,身体,shēntǐ,,,Thân hình,Body,,FALSE,
175,水果,shuǐguǒ,,,hoa quả,fruit,,FALSE,
176,天气,tiānqì,,,thời tiết,weather,,FALSE,
177,下雨,xiàyǔ,,,cơn mưa,rain,,FALSE,
178,一点儿,yīdiǎnr,,,một chút,a little,,FALSE,
179,怎么样,zěnmeyàng,,,Thế nào?,How about it,,FALSE,
180,喂,wèi,,,Xin chào,Hello,,FALSE,
181,位,wèi,,,Chút,Bit,,FALSE,
182,正在,zhèngzài,,,Đang tiến hành,In progress,,FALSE,
183,上网,shàngwǎng,,,internet,Internet,,FALSE,
184,网上,wǎngshàng,,,Trực tuyến,Online,,FALSE,
185,找,zhǎo,,,cố gắng tìm,try to find,,FALSE,
186,网友,wǎngyǒu,,,Cư dân mạng,Netizens,,FALSE,
187,睡觉,shuìjiào,,,ngủ,sleep,,FALSE,
188,爱,ài,,,giống,like,,FALSE,
189,电话,diànhuà,,,Điện thoại,Telephone,,FALSE,
190,号码,hàomǎ,,,Con số,Number,,FALSE,
191,给,gěi,,,Đưa cho,Give,,FALSE,
192,送,sòng,,,giao,deliver,,FALSE,
193,打电话,dǎdiànhuà,,,Gọi điện,Call up,,FALSE,
194,开会,kāihuì,,,Cuộc họp,Meeting,,FALSE,
195,衣服,yīfú,,,quần áo,clothing,,FALSE,
196,件,jiàn,,,Mục,Item,,FALSE,
197,爷爷,yéye,,,ông nội,grandfather,,FALSE,
198,奶奶,nǎinai,,,bà,grandmother,,FALSE,
199,动,dòng,,,di chuyển,move,,FALSE,
200,漂亮,piàoliang,,,đẹp,pretty,,FALSE,
201,新,xīn,,,mới,new,,FALSE,
202,东西,dōngxi,,,điều,thing,,FALSE,
203,骑,qí,,,lái,ride,,FALSE,
204,车,chē,,,xe hơi,car,,FALSE,
