STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA,ENGLISH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
1,季节,jìjié,Danh từ,quý tiết,"mùa, vụ",season,季节,TRUE,一年有四个季节。,Một năm có bốn mùa.
2,春天,chūntiān,Danh từ,xuân thiên,mùa xuân,spring,春天,TRUE,春天花开草绿鸟唱歌。,"Mùa xuân mang đến những bông hoa nở rộ, thảm cỏ xanh mướt và tiếng chim hót líu lo."
3,夏天,xiàtiān,Danh từ,hạ thiên,"mùa hè, mùa hạ",summer,夏天,TRUE,这里的夏天热极了。,Mùa hè ở đây cực kỳ nóng.
4,秋天,qiūtiān,Danh từ,thu thiên,mùa thu,autumn,秋天,TRUE,秋天的天气不冷也不热。,Thời tiết mùa thu không quá lạnh cũng không quá nóng.
5,冬天,dōngtiān,Danh từ,đông thiên,mùa đông,winter,冬天,TRUE,去年的冬天特别冷，还有下雪呢。,"Mùa đông năm ngoái đặc biệt lạnh, thậm chí còn có tuyết rơi."
6,太阳,tàiyáng,Danh từ,thái dương,mặt trời,sun,太阳,TRUE,太阳从东边出来了。,Mặt trời mọc ở phía đông.
7,刮风,guāfēng,Động từ ly hợp,quát phong,"nổi gió, gió thổi",Wind,刮风,TRUE,外面刮大风，可能会下雨。,"Bên ngoài có gió to, có thể sẽ mưa."
8,月亮,yuèliang,Danh từ,nguyệt lượng,"mặt trăng, ánh trăng",moon,月亮,TRUE,今晚的月亮又明又大，真的让我想老家。,"Trăng đêm nay vừa sáng vừa to, thật sự khiến tôi nhớ quê nhà."
9,雨伞,yǔsǎn,Danh từ,vũ tản,"cái ô, cây dù",Umbrella,雨伞,TRUE,你出去记得带雨伞吧。,Bạn nhớ mang theo ô khi ra ngoài nha.
10,机会,jīhuì,Danh từ,cơ hội,"cơ hội, dịp, thời cơ",Chance,机会,TRUE,这是了解中国文化的好机会。,Đây là một cơ hội tuyệt vời để tìm hiểu về văn hóa Trung Quốc.
11,一直,yīzhí,Phó từ,nhất trực,"liên tục, suốt, cứ, luôn luôn",Always,一直,TRUE,外面一直下雨，我们不能去玩儿了。,"Bên ngoài trời cứ liên tục mưa suốt, chúng ta không thể đi chơi rồi."
12,又,yòu,Phó từ,hựu,"lại, vừa",again,又,TRUE,坐地铁上班又便宜又方便。,Đi tàu điện ngầm đến nơi làm việc vừa rẻ vừa tiện lợi.
13,帅,shuài,Tính từ,soái,đẹp trai,handsome,帅,TRUE,我的丈夫很帅。,Chồng tôi rất đẹp trai.
14,哇塞,wāsāi,Thán từ,oa tắc,"ồ, ôi, wow",Wow!,哇塞,TRUE,哇塞，今天天气多么好！,"Wow, một ngày thật đẹp!"
15,部,bù,Lượng từ,bộ,"phần, bộ, bộ phận",department,部,TRUE,那部电影主要讲什么？,Bộ phim đó chủ yếu nói về gì vậy?
16,生活,shēnghuó,Danh từ,sinh hoạt,"đời sống, cuộc sống",Life,生活,TRUE,每个人的生活都不一样。,Cuộc sống của mỗi người đều khác nhau.
