STT,HÁN TỰ,PINYIN,TỪ LOẠI,HÁN VIỆT,NGHĨA TIẾNG VIỆT,NGHĨA TIẾNG ANH,ÔN TẬP,CHECK,CÂU VÍ DỤ,NGHĨA CÂU
1,挂,guà,Động từ,QUẢI,"treo, móc",hang,挂,TRUE,春节来了，我爸爸把春联挂在门前。,"Tết Nguyên Đán sắp đến, và bố tôi đã treo những câu đối Tết trước cửa."
2,空,kōng,Tính từ,KHÔNG,"trống, không, trống rỗng",null,空,TRUE,这个盒子里是空的。,Chiếc hộp trống không.
3,竞争,jìngzhēng,Động từ,CẠNH TRANH,"cạnh tranh, ganh đua",compete,竞争,TRUE,他们为了第一名竞争。,Họ đã cạnh tranh để giành vị trí thứ nhất.
4,之间,zhījiān,Danh từ,CHI GIAN,giữa,between,之间,TRUE,公司之间有很多竞争。,Giữa các công ty có sự cạnh tranh rất gay gắt.
5,内容,nèiróng,Danh từ,NỘI DUNG,nội dung,content,内容,TRUE,老师让我们记住课文的主要内容。,Giáo viên yêu cầu chúng tôi ghi nhớ nội dung chính của bài học.
6,厚,hòu,"Tính từ, Danh từ",HẬU,"dày, độ dày",thick,厚,TRUE,今天很冷，我要穿个厚毛衣。地上的雪有一米厚。,Hôm nay trời rất lạnh; tôi cần mặc một chiếc áo len dày. Tuyết trên mặt đất dày đến một mét.
7,老虎,lǎohǔ,Danh từ,LÃO HỔ,"con hổ, cọp",tiger,老虎,TRUE,老虎是一种很聪明的动物。,Hổ là loài động vật rất thông minh.
8,儿童,értóng,Danh từ,NHI ĐỒNG," nhi đồng, thiếu nhi, trẻ em",child,儿童,TRUE, 明天是儿童节，这个礼物是送给我孩子的。,"Ngày mai là Ngày Thiếu nhi, và món quà này dành cho con tôi."
9,毛,máo,"Danh từ, Lượng từ",MAO,"lông, tóc; hào = 1/10 快 (tệ)",hair,毛,TRUE,我家小狗的毛是白白的。那个苹果两毛钱。,Lông chó nhà tôi màu trắng. Quả táo này giá hai xu.
10,掉,diào,Động từ,ĐIỆU,"rơi, rớt, rụng; mất, hết, đi",Lose,掉,TRUE,我的手机掉在地上了。,Điện thoại của tôi bị rơi xuống đất.
11,提,tí,Động từ, ĐỀ,"xách, nhấc lên, cầm; đưa ra, đề ra",carry,提,TRUE,他手里提着很多东西。他提出了一个很好的建议。,Tay anh ấy đang xách rất nhiều đồ. Anh ấy đã đưa ra một ý kiến rất hay.
12,好像,hǎoxiàng,Phó từ,HẢO TƯỢNG,"hình như, dường như, giống như, có vẻ",like,好像,TRUE,他好像不太高兴。,Anh ấy trông không được vui vẻ cho lắm.
13,丢,diū,Động từ,ĐÂU,"mất, thất lạc, đánh rơi, bỏ quên",leave,丢,TRUE,他丢了重要的书。,Anh ấy đã đánh mất một cuốn sách quan trọng.
14,钥匙,yàoshi,Danh từ,THƯỢC THI,"chìa khóa (lượng từ: 把: cái, chiếc 、串/zhuàn/: chùm、个: cái)",key,钥匙,TRUE,我丢了我的钥匙。,Tôi bị mất chìa khóa.
15,举办,jǔbàn,Động từ,CỬ BIỆN,"tổ chức, tiến hành, cử hành (nhấn mạnh người hoặc đơn vị tổ chức sự kiện)",hold,举办,TRUE,我们学校每年都举办运动会。,Trường chúng tôi tổ chức hội thao hàng năm.
16,活动,huódòng,"Danh từ, Động từ",HOẠT ĐỘNG,"hoạt động, sự kiện; hoạt động, vận động",Activity,活动,TRUE,我班今年举办了很多活动。,Lớp tôi đã tổ chức rất nhiều hoạt động trong năm nay.
17,邀请,yāoqǐng,Động từ,YÊU THỈNH,"mời, kính mời",invite,邀请,TRUE,他邀请大家周末来他家做客。,Anh ấy mời mọi người cuối tuần tới nhà anh ấy chơi.
18, 聚会,  jùhuì,"Động từ, Danh từ",TỤ HỘI,"tụ họp, tụ tập, gặp gỡ; buổi gặp gỡ, buổi tụ tập, hội họp", reunion,聚会,TRUE,他邀请我们参加他的生日聚会。,Anh ấy đã mời chúng tôi đến dự tiệc sinh nhật của anh ấy.
19,篇,piān,Lượng từ,THIÊN,"trang, tờ, bài, phần",Chapter,篇,TRUE,我写了一篇文章。,Tôi đã viết một bài báo.
